Date,Time,UTC,Receiver,ID,Lat,Long,Dist,VR100det,RecDet
6/11/2021,03:34.9,03:34.9,LJK19,111416,32.7969,-117.27686,301.3431834,1,0
6/11/2021,03:09.2,03:09.2,LJK19,111416,32.79689,-117.27692,295.6149083,1,0
6/11/2021,02:43.4,02:43.4,LJK19,111416,32.7969,-117.27694,293.9863583,1,1
6/11/2021,02:17.7,02:17.7,LJK19,111416,32.79689,-117.27703,285.5009634,1,0
6/11/2021,01:51.9,01:51.9,LJK19,111416,32.79688,-117.27709,279.7725826,1,0
6/11/2021,01:26.2,01:26.2,LJK19,111416,32.79688,-117.27715,274.2617662,1,0
6/11/2021,01:00.4,01:00.4,LJK19,111416,32.79688,-117.2772,269.6728624,1,0
6/11/2021,00:34.7,00:34.7,LJK19,111416,32.79688,-117.27726,264.1705537,1,0
6/11/2021,00:08.9,00:08.9,LJK19,111416,32.79687,-117.27731,259.3592746,1,0
6/11/2021,59:43.2,59:43.2,LJK19,111416,32.79686,-117.27737,253.6313042,1,1
6/11/2021,59:17.4,59:17.4,LJK19,111416,32.79685,-117.27744,246.9868043,1,1
6/11/2021,58:52.6,58:52.6,LJK19,111416,32.79684,-117.2775,241.258931,1,1
6/11/2021,58:26.9,58:26.9,LJK19,111416,32.79681,-117.27756,235.0816023,1,0
6/11/2021,58:01.1,58:01.1,LJK19,111416,32.7968,-117.27763,228.4352744,1,1
6/11/2021,57:35.4,57:35.4,LJK19,111416,32.79679,-117.27766,225.4613755,1,1
6/11/2021,57:09.6,57:09.6,LJK19,111416,32.79679,-117.27773,219.0366438,1,1
6/11/2021,56:43.9,56:43.9,LJK19,111416,32.79676,-117.27777,214.7083797,1,1
6/11/2021,56:19.0,56:19.1,LJK19,111416,32.79676,-117.2778,211.950841,1,0
6/11/2021,55:54.2,55:54.2,LJK19,111416,32.79673,-117.27779,212.2536849,1,1
6/11/2021,55:28.5,55:28.5,LJK19,111416,32.79671,-117.27786,205.4097975,1,0
6/11/2021,55:02.8,55:02.8,LJK19,111416,32.79671,-117.2779,201.7204925,1,0
6/11/2021,54:37.9,54:37.9,LJK19,111416,32.79672,-117.27794,198.235072,1,0
6/11/2021,54:12.2,54:12.2,LJK19,111416,32.79673,-117.27798,194.7656692,1,0
6/11/2021,53:46.4,53:46.4,LJK19,111416,32.79672,-117.27802,190.875522,1,1
6/11/2021,53:20.7,53:20.7,LJK19,111416,32.79673,-117.27806,187.4196838,1,1
6/11/2021,52:54.9,52:54.9,LJK19,111416,32.79673,-117.27813,181.0018588,1,1
6/11/2021,52:29.2,52:29.2,LJK19,111416,32.79673,-117.27817,177.3390919,1,1
6/11/2021,52:04.4,52:04.4,LJK19,111416,32.79674,-117.27823,172.0984474,1,1
6/11/2021,51:39.6,51:39.6,LJK19,111416,32.79674,-117.27827,168.4504217,1,1
6/11/2021,51:13.8,51:13.8,LJK19,111416,32.79674,-117.27831,164.8068228,1,1
6/11/2021,50:48.1,50:48.1,LJK19,111416,32.79674,-117.27837,159.3503888,1,1
6/11/2021,50:23.3,50:23.3,LJK19,111416,32.79674,-117.2784,156.6265102,1,1
6/11/2021,49:57.6,49:57.6,LJK19,111416,32.79675,-117.27844,153.2846145,1,1
6/11/2021,49:31.8,49:31.8,LJK19,111416,32.79675,-117.27848,149.6704292,1,1
6/11/2021,49:06.0,49:06.0,LJK19,111416,32.79675,-117.27851,146.9641453,1,1
6/11/2021,48:40.3,48:40.3,LJK19,111416,32.79674,-117.27858,140.3545747,1,1
6/11/2021,48:14.6,48:14.6,LJK19,111416,32.79676,-117.27861,138.2981272,1,1
6/11/2021,47:48.8,47:48.8,LJK19,111416,32.79676,-117.27863,136.5102734,1,1
6/11/2021,47:23.1,47:23.1,LJK19,111416,32.79676,-117.27867,132.941629,1,1
6/11/2021,46:57.3,46:57.3,LJK19,111416,32.79677,-117.27872,128.8535055,1,1
6/11/2021,46:31.5,46:31.5,LJK19,111416,32.79677,-117.27877,124.4371405,1,1
6/11/2021,46:05.8,46:05.8,LJK19,111416,32.79677,-117.2788,121.7968966,1,1
6/11/2021,45:40.0,45:40.0,LJK19,111416,32.79677,-117.27884,118.2887399,1,1
6/11/2021,45:14.3,45:14.3,LJK19,111416,32.79676,-117.2789,112.6465216,1,1
6/11/2021,44:48.5,44:48.5,LJK19,111416,32.79675,-117.27895,107.8830691,1,1
6/11/2021,44:22.8,44:22.8,LJK19,111416,32.79674,-117.27901,102.2570244,1,1
6/11/2021,43:57.0,43:57.0,LJK19,111416,32.79671,-117.27908,94.93000453,1,1
6/11/2021,43:32.2,43:32.2,LJK19,111416,32.7967,-117.27914,89.30931468,1,1
6/11/2021,43:06.4,43:06.4,LJK19,111416,32.79667,-117.27918,84.58631562,1,1
6/11/2021,42:40.7,42:40.7,LJK19,111416,32.79665,-117.27925,77.67393287,1,1
6/11/2021,41:49.1,41:49.1,LJK19,111416,32.79659,-117.27937,64.79799389,1,1
6/11/2021,41:23.4,41:23.4,LJK19,111416,32.79657,-117.27943,58.7584635,1,1
6/11/2021,40:57.6,40:57.6,LJK19,111416,32.79653,-117.27949,52.01489245,1,1
6/11/2021,40:31.8,40:31.8,LJK19,111416,32.79651,-117.27955,45.99110791,1,1
6/11/2021,40:06.1,40:06.1,LJK19,111416,32.79647,-117.27962,38.50300859,1,1
6/11/2021,39:40.3,39:40.3,LJK19,111416,32.79645,-117.27968,32.53458254,1,1
6/11/2021,39:14.5,39:14.5,LJK19,111416,32.79644,-117.27975,25.89091623,1,1
6/11/2021,44:41.6,44:41.6,LJK11,123755,32.8274,-117.29594,296.3967945,1,0
6/11/2021,44:15.8,44:15.8,LJK11,123755,32.82747,-117.29593,288.6004893,1,0
6/11/2021,43:50.1,43:50.1,LJK11,123755,32.82753,-117.29594,281.994441,1,0
6/11/2021,43:24.3,43:24.3,LJK11,123755,32.82756,-117.29594,278.6710386,1,0
6/11/2021,42:58.6,42:58.6,LJK11,123755,32.82759,-117.29593,275.3047363,1,0
6/11/2021,42:32.8,42:32.8,LJK11,123755,32.82763,-117.29594,270.9167806,1,0
6/11/2021,42:07.1,42:07.1,LJK11,123755,32.82767,-117.29593,266.4415894,1,0
6/11/2021,41:41.3,41:41.3,LJK11,123755,32.82771,-117.29594,262.0554122,1,0
6/11/2021,41:15.5,41:15.5,LJK11,123755,32.82774,-117.29594,258.7325889,1,0
6/11/2021,40:49.8,40:49.8,LJK11,123755,32.82778,-117.29593,254.2557834,1,0
6/11/2021,40:24.0,40:24.0,LJK11,123755,32.82782,-117.29594,249.8722755,1,0
6/11/2021,39:58.3,39:58.3,LJK11,123755,32.82785,-117.29594,246.5498767,1,0
6/11/2021,39:32.5,39:32.5,LJK11,123755,32.82789,-117.29593,242.0713216,1,0
6/11/2021,39:06.8,39:06.8,LJK11,123755,32.82794,-117.29593,236.5334305,1,0
6/11/2021,38:42.0,38:42.0,LJK11,123755,32.82798,-117.29593,232.1033644,1,0
6/11/2021,38:16.2,38:16.2,LJK11,123755,32.82802,-117.29594,227.7255108,1,0
6/11/2021,37:50.5,37:50.5,LJK11,123755,32.82804,-117.29596,225.6277967,1,1
6/11/2021,37:24.7,37:24.7,LJK11,123755,32.82809,-117.29594,219.9757386,1,1
6/11/2021,36:58.9,36:58.9,LJK11,123755,32.82813,-117.29593,215.4928113,1,0
6/11/2021,36:33.2,36:33.2,LJK11,123755,32.82816,-117.29596,212.3508346,1,0
6/11/2021,36:07.4,36:07.4,LJK11,123755,32.82819,-117.29597,209.1014062,1,0
6/11/2021,35:41.7,35:41.7,LJK11,123755,32.82823,-117.29597,204.6785001,1,0
6/11/2021,35:15.9,35:15.9,LJK11,123755,32.82827,-117.29597,200.2561757,1,1
6/11/2021,34:50.2,34:50.2,LJK11,123755,32.8283,-117.29597,196.9398377,1,0
6/11/2021,34:24.4,34:24.4,LJK11,123755,32.82835,-117.29597,191.4134333,1,1
6/11/2021,33:58.6,33:58.6,LJK11,123755,32.82839,-117.29594,186.7749645,1,1
6/11/2021,33:32.9,33:32.9,LJK11,123755,32.82844,-117.29596,181.3890429,1,1
6/11/2021,33:08.1,33:08.1,LJK11,123755,32.82846,-117.29594,179.0318379,1,1
6/11/2021,32:42.3,32:42.3,LJK11,123755,32.82851,-117.29594,173.5021259,1,1
6/11/2021,32:16.6,32:16.6,LJK11,123755,32.82856,-117.29593,167.9029507,1,0
6/11/2021,31:50.8,31:50.8,LJK11,123755,32.8286,-117.29591,163.3501244,1,1
6/11/2021,31:25.0,31:25.0,LJK11,123755,32.82865,-117.29591,157.8164743,1,0
6/11/2021,30:59.3,30:59.3,LJK11,123755,32.8287,-117.29591,152.2836551,1,0
6/11/2021,30:33.5,30:33.5,LJK11,123755,32.82874,-117.29591,147.8580605,1,1
6/11/2021,30:07.8,30:07.8,LJK11,123755,32.82878,-117.2959,143.3689188,1,1
6/11/2021,29:43.0,29:43.0,LJK11,123755,32.82882,-117.2959,138.9426346,1,1
6/11/2021,29:17.2,29:17.2,LJK11,123755,32.82887,-117.2959,133.4106923,1,1
6/11/2021,28:51.4,28:51.4,LJK11,123755,32.82892,-117.2959,127.8798871,1,1
6/11/2021,28:26.6,28:26.6,LJK11,123755,32.82896,-117.2959,123.4561644,1,1
6/11/2021,28:01.8,28:01.8,LJK11,123755,32.829,-117.29591,119.1106693,1,1
6/11/2021,27:36.1,27:36.1,LJK11,123755,32.82905,-117.2959,113.5063084,1,1
6/11/2021,27:10.3,27:10.3,LJK11,123755,32.82911,-117.29591,106.9624074,1,1
6/11/2021,26:45.5,26:45.5,LJK11,123755,32.82915,-117.29591,102.5478535,1,1
6/11/2021,26:19.7,26:19.7,LJK11,123755,32.8292,-117.29591,97.03241933,1,0
6/11/2021,25:54.0,25:54.0,LJK11,123755,32.82923,-117.29591,93.72483759,1,1
6/11/2021,25:29.2,25:29.2,LJK11,123755,32.82927,-117.2959,89.21385371,1,1
6/11/2021,25:03.4,25:03.4,LJK11,123755,32.82932,-117.29589,83.60186603,1,1
6/11/2021,24:37.7,24:37.7,LJK11,123755,32.82935,-117.2959,80.39613059,1,1
6/11/2021,24:11.9,24:11.9,LJK11,123755,32.8294,-117.29589,74.78028573,1,1
6/11/2021,23:46.1,23:46.1,LJK11,123755,32.82944,-117.29589,70.3742602,1,1
6/11/2021,23:20.4,23:20.4,LJK11,123755,32.82949,-117.29589,64.87248468,1,1
6/11/2021,22:54.6,22:54.6,LJK11,123755,32.82953,-117.29589,60.47675865,1,1
6/11/2021,22:28.9,22:28.9,LJK11,123755,32.8296,-117.29587,52.53413758,1,1
6/11/2021,22:03.1,22:03.1,LJK11,123755,32.82963,-117.29587,49.23483944,1,1
6/11/2021,21:37.3,21:37.3,LJK11,123755,32.82969,-117.29587,42.64917705,1,1
6/11/2021,21:11.6,21:11.6,LJK11,123755,32.82971,-117.29589,40.80416068,1,1
6/11/2021,20:45.8,20:45.8,LJK11,123755,32.82976,-117.2959,35.63167062,1,1
6/11/2021,20:20.0,20:20.0,LJK11,123755,32.82981,-117.2959,30.31650956,1,1
